,bai,centrality,ph_ph_centrality,th_th_centrality,group
3575,C.Anastasiou.1,0.0005046632917885655,0.0002766422084877538,0.0004564104385650096,ph
2923,G.P.Salam.1,0.0005026467243895413,0.0007192463157838419,0.00031521694118203384,ph
3620,Gilad.Perez.1,0.0005008897407587016,0.0009145703576180379,2.791529237818973e-05,ph
1522,S.Theisen.1,0.0004994644295413471,1.5799559180766333e-06,0.00111889402703653,th
4946,M.Spannowsky.1,0.0004973443004408012,0.0007009422925658666,0.00020446409061868786,ph
2633,S.Kanemura.1,0.0004970907796284148,0.0009766387053186307,4.974362428202343e-06,ph
2106,J.M.Figueroa.O.Farrill.1,0.0004930463347776528,1.8452039919143162e-07,0.0011407477232269578,th
4499,K.Hohenwarter.Sodek.1,0.0004925489292351082,0.0002916707346380841,0.0004989423620896902,ph
161,S.J.Brodsky.1,0.0004919544492942557,0.0009668407616633039,0.0,ph
2622,E.Iancu.1,0.0004919544492942556,0.0009664717208649211,0.0,ph
3293,U.Cotti.1,0.0004918621890946599,0.0009638884352762409,0.0,ph
4597,J.P.Shock.1,0.0004910114731708879,2.0758544909036058e-07,0.0009162514188849865,th
5073,Hao.Zhang.1,0.0004910087822483995,0.0009538705152701396,0.0,ph
5683,F.S.Queiroz.1,0.000490870391949006,0.0009654568586693681,0.0,ph
4089,T.Kernreiter.1,0.0004896988609306297,0.00028809965411777437,0.0004989423620896902,ph
3936,S.Antusch.1,0.000489578749154666,0.000957707001903328,0.0,ph
3175,S.Matsumoto.1,0.000489428826330323,0.0009597530751771475,0.0,ph
587,R.Flume.1,0.0004893536452510095,2.521778788949565e-06,0.0008558917758862682,th
1076,P.H.Damgaard.1,0.00048742793325159083,1.5684233931271688e-06,0.0009418570840302821,th
380,M.Henneaux.1,0.00048567965738603757,5.650937225237593e-07,0.0010079481323222624,th
365,L.Brink.1,0.00048516563627400426,0.0001364759002519626,0.0009599788910127767,th
3246,D.S.Gorbunov.1,0.00048489466532837446,0.0006132205865295335,0.00034581412006151824,ph
1571,A.S.Gorsky.1,0.0004847135612959853,1.1532524949464477e-07,0.0008737592266240452,th
1759,L.Chekhov.1,0.0004844583080771037,0.0,0.0009792958886087255,th
1577,D.K.Ghosh.1,0.00048380095415498424,0.0005482168255080847,0.0004212831364039373,ph
2637,T.Gherghetta.1,0.0004807296852872925,0.0002022853473917079,0.000373495383512645,ph
4587,J.Rosseel.1,0.00047935900996194897,0.0,0.0008788356244396565,th
3760,G.Bossard.1,0.00047921792874006715,0.0002723982393063509,0.0007742269462959095,th
640,Riccardo.Barbieri.1,0.00047752726058247557,0.0005514469013335596,0.0003448301843389541,ph
890,C.K.Zachos.1,0.0004759934347641968,0.0001374215672978187,0.0007639144526525269,th
154,P.Osland.1,0.0004744646031788518,0.0006176473683399582,0.00014443113696533953,ph
3448,Seong.Youl.Choi.1,0.00047145440685545764,0.0006858143696033469,0.00011982766260337735,ph
1401,S.Nojiri.1,0.00047122168514910045,7.242425668263691e-07,0.0009922503464260667,th
4811,B.D.Chowdhury.1,0.0004711469735293625,0.0,0.0006931077182975204,th
5708,E.Kuflik.1,0.00047014237846894466,0.0006732490348278258,0.00019715147951556626,ph
5,R.B.Mann.1,0.00046941061460625697,0.00013717619910032247,0.0007060621453281791,th
344,Michael.J.Duff.1,0.0004690705698706042,1.8836457417458647e-06,0.0005580094022808743,th
991,Marek.Karliner.1,0.00046177791650939493,0.0004106606271599398,0.0003430944506759418,ph
143,Douglas.A.Ross.1,0.00046165350882453385,0.0007812571002827213,0.0001407890645830622,ph
2299,V.Ravindran.2,0.0004568379108231355,0.0008983606285133843,0.0,ph
5747,Alessandro.Sfondrini.1,0.00045637276565017453,0.0,0.00042263270542359496,th
3169,I.Brunner.1,0.0004560365101727197,9.994854956202544e-07,0.0006516787482862488,th
3783,M.Malinsky.1,0.0004558627613873205,0.0007796398094975561,4.536746238421426e-05,ph
573,K.Enqvist.1,0.0004557038792031056,0.000836615489933951,1.5684233931271687e-05,ph
5620,Hee.Cheol.Kim.1,0.00045519778441377586,2.137361290634083e-06,0.001014583511684235,th
572,J.Maalampi.1,0.0004539056896102015,0.0006077340799956253,0.0002816363908113776,ph
1468,R.Stora.1,0.00045279383874085737,0.0002691460672706019,0.0005569937712503244,th
