ngram,count,unithood
light cone qcd,130,0.0019493803821089009
solar neutrino oscillation,130,0.0019493803821089009
high energy collision,130,0.0019493803821089009
experimental error,164,0.0019488844156407316
qcd vacuum,164,0.0019488844156407316
low value,164,0.0019488844156407316
light hadron,164,0.0019488844156407316
possible existence,163,0.0019370009740819468
inflationary model,163,0.0019370009740819468
perturbative series,163,0.0019370009740819468
topological defect,163,0.0019370009740819468
larger value,163,0.0019370009740819468
ultra-high energy,162,0.001925117532523162
recent calculation,162,0.001925117532523162
heavy-light meson,162,0.001925117532523162
partial decay width,128,0.0019193899146918408
visible sector,161,0.0019132340909643769
scalar resonance,161,0.0019132340909643769
virtual correction,161,0.0019132340909643769
neutrino mass spectrum,127,0.0019043946809833108
large logarithm,160,0.001901350649405592
new constraint,160,0.001901350649405592
large contribution,160,0.001901350649405592
few year,159,0.001889467207846807
s gamma,159,0.001889467207846807
electron-positron pair,159,0.001889467207846807
inverted hierarchy,159,0.001889467207846807
future measurement,159,0.001889467207846807
scalar field theory,126,0.0018893994472747807
w boson,158,0.0018775837662880221
new physic scenario,125,0.0018744042135662507
second part,157,0.0018657003247292369
physical point,157,0.0018657003247292369
experimental evidence,157,0.0018657003247292369
q \bar,157,0.0018657003247292369
current constraint,157,0.0018657003247292369
analytic continuation,157,0.0018657003247292369
azimuthal angle,156,0.001853816883170452
heavy hadron,156,0.001853816883170452
external momentum,156,0.001853816883170452
top-quark mass,156,0.001853816883170452
powerful tool,156,0.001853816883170452
standard model value,123,0.0018444137461491909
right-handed neutrino mass,123,0.0018444137461491909
solar neutrino experiment,123,0.0018444137461491909
collinear factorization,155,0.001841933441611667
longitudinal momentum,155,0.001841933441611667
loop level,155,0.001841933441611667
