ngram,count,unithood
previous paper,191,0.0020351972991630597
cosmic neutrino,190,0.0020245418159213686
large mixing,190,0.0020245418159213686
powerful tool,190,0.0020245418159213686
lhcb collaboration,190,0.0020245418159213686
negative parity,190,0.0020245418159213686
heavy-light meson,190,0.0020245418159213686
top-quark mass,190,0.0020245418159213686
quantum fluctuation,190,0.0020245418159213686
current quark mass,150,0.0020168584247595473
spontaneous cp violation,150,0.0020168584247595473
such effect,189,0.002013886332679677
thermal leptogenesis,189,0.002013886332679677
high energy collision,149,0.0020034127019278166
dark matter halo,149,0.0020034127019278166
large logarithm,188,0.0020032308494379856
direct measurement,188,0.0020032308494379856
recent year,188,0.0020032308494379856
logarithmic approximation,188,0.0020032308494379856
supersymmetric su,188,0.0020032308494379856
experimental uncertainty,187,0.001992575366196294
standard deviation,187,0.001992575366196294
possible existence,187,0.001992575366196294
model-independent way,186,0.001981919882954603
new type,186,0.001981919882954603
weak phase,186,0.001981919882954603
present prediction,186,0.001981919882954603
massive quark,186,0.001981919882954603
inclusive decay,186,0.001981919882954603
galactic halo,185,0.0019712643997129116
indirect search,185,0.0019712643997129116
e^+e^- \to,184,0.00196060891647122
top pair,184,0.00196060891647122
susy parameter,184,0.00196060891647122
light stop,184,0.00196060891647122
few tev,184,0.00196060891647122
realistic model,184,0.00196060891647122
small scale,183,0.0019499534332295288
threshold correction,183,0.0019499534332295288
direct photon,183,0.0019499534332295288
leptonic cp violation,145,0.0019496298106008957
hadronic phase,182,0.0019392979499878373
dirac equation,182,0.0019392979499878373
experimental error,182,0.0019392979499878373
light scalar,182,0.0019392979499878373
higgs triplet,182,0.0019392979499878373
standard model value,144,0.0019361840877691653
ultrarelativistic heavy-ion collision,144,0.0019361840877691653
kinematic distribution,181,0.001928642466746146
finite size,181,0.001928642466746146
ultra-high energy,180,0.0019179869835044543
experimental observation,180,0.0019179869835044543
kinetic theory,179,0.0019073315002627628
vector-like quark,179,0.0019073315002627628
few year,179,0.0019073315002627628
branching ratio,179,0.0019073315002627628
top decay,179,0.0019073315002627628
experimental study,179,0.0019073315002627628
two-loop level,179,0.0019073315002627628
low value,179,0.0019073315002627628
randall-sundrum model,178,0.0018966760170210715
asymptotic behavior,178,0.0018966760170210715
dependent parton,178,0.0018966760170210715
initial state radiation,141,0.0018958469192739743
large distance,177,0.00188602053377938
light-cone sum,177,0.00188602053377938
virtual correction,177,0.00188602053377938
larger value,177,0.00188602053377938
measured value,176,0.0018753650505376888
invisible decay,176,0.0018753650505376888
light hadron,176,0.0018753650505376888
visible sector,176,0.0018753650505376888
h \to,176,0.0018753650505376888
possible explanation,176,0.0018753650505376888
chiral transition,176,0.0018753650505376888
exclusive decay,176,0.0018753650505376888
physical pion mass,139,0.0018689554736105137
spontaneous cp,175,0.0018647095672959973
recent calculation,175,0.0018647095672959973
